trial_id,sample_date,sample_time,station_code,flows,mark_recap_id,mark_code,fork_length,count,dead
31,1999-08-07,07:45:00,gate 10,9717,{000000FD-0000-0000-0000000000000000},BSDO,57,1,FALSE
31,1999-08-08,08:37:00,gate 10,9631,{000000FD-0000-0000-0000000000000000},BSDO,58,1,FALSE
31,1999-08-08,08:37:00,gate 10,9631,{000000FD-0000-0000-0000000000000000},BSDO,58,1,FALSE
32,1999-08-12,09:09:00,gate 10,9174,{000000FD-0000-0000-0000000000000000},BSDO,60,1,FALSE
32,1999-08-12,09:09:00,gate 10,9174,{000000FD-0000-0000-0000000000000000},BSDO,60,1,FALSE
216,2000-03-25,08:54:00,gate 10,11705,{0000001D-0000-0000-0000000000000000},B,63,1,FALSE
216,2000-03-25,08:54:00,gate 10,11705,{0000001D-0000-0000-0000000000000000},B,63,1,FALSE
216,2000-03-27,18:45:00,gate 10,10456,{0000001D-0000-0000-0000000000000000},B,67,1,FALSE
216,2000-03-27,18:45:00,gate 10,10456,{0000001D-0000-0000-0000000000000000},B,67,1,FALSE
218,2000-03-28,18:36:00,gate 10,9997,{0000001D-0000-0000-0000000000000000},B,71,1,FALSE
218,2000-03-28,18:36:00,gate 10,9997,{0000001D-0000-0000-0000000000000000},B,71,1,FALSE
218,2000-03-29,06:45:00,gate 10,10054,{0000001D-0000-0000-0000000000000000},B,79,1,FALSE
218,2000-03-29,06:45:00,gate 10,10054,{0000001D-0000-0000-0000000000000000},B,79,1,FALSE
219,2000-03-29,06:45:00,gate 10,10054,{0000001D-0000-0000-0000000000000000},B,90,1,FALSE
219,2000-03-29,06:45:00,gate 10,10054,{0000001D-0000-0000-0000000000000000},B,90,1,FALSE
218,2000-03-30,05:59:00,gate 10,9801,{0000001D-0000-0000-0000000000000000},B,92,1,FALSE
218,2000-03-30,05:59:00,gate 10,9801,{0000001D-0000-0000-0000000000000000},B,92,1,FALSE
201,1998-03-10,09:05:00,gate 11,22039,{000000A9-0000-0000-0000000000000000},B,71,1,FALSE
201,1998-03-10,09:05:00,gate 11,22039,{000000A9-0000-0000-0000000000000000},B,71,1,FALSE
202,1998-03-17,06:32:00,gate 11,14274,{00000004-0000-0000-0000000000000000},B,84,1,FALSE
202,1998-03-17,06:32:00,gate 11,14274,{00000004-0000-0000-0000000000000000},B,84,1,FALSE
207,1998-05-06,09:04:00,gate 11,15958,{00000128-0000-0000-0000000000000000},BSDO,52,1,FALSE
207,1998-05-06,09:04:00,gate 11,15958,{00000128-0000-0000-0000000000000000},BSDO,52,1,FALSE
301,1998-05-08,08:58:00,gate 11,14514,{00000128-0000-0000-0000000000000000},BSDO,54,2,FALSE
301,1998-05-08,08:58:00,gate 11,14514,{00000128-0000-0000-0000000000000000},BSDO,54,2,FALSE
5,1998-12-17,08:26:00,gate 11,17500,{00000128-0000-0000-0000000000000000},BSDO,56,1,FALSE
5,1998-12-17,08:26:00,gate 11,17500,{00000128-0000-0000-0000000000000000},BSDO,56,1,FALSE
6,1998-12-21,09:00:00,gate 11,12978,{00000128-0000-0000-0000000000000000},BSDO,57,3,FALSE
6,1998-12-21,09:00:00,gate 11,12978,{00000128-0000-0000-0000000000000000},BSDO,57,3,FALSE
8,1999-01-05,09:28:00,gate 11,7612,{00000128-0000-0000-0000000000000000},BSDO,59,1,FALSE
8,1999-01-05,09:28:00,gate 11,7612,{00000128-0000-0000-0000000000000000},BSDO,59,1,FALSE
9,1999-01-09,09:14:00,gate 11,7546,{00000128-0000-0000-0000000000000000},BSDO,61,1,FALSE
9,1999-01-09,09:14:00,gate 11,7546,{00000128-0000-0000-0000000000000000},BSDO,61,1,FALSE
10,1999-01-13,09:16:00,gate 11,7500,{0000011C-0000-0000-0000000000000000},B,78,1,FALSE
10,1999-01-13,09:16:00,gate 11,7500,{0000011C-0000-0000-0000000000000000},B,78,1,FALSE
11,1999-01-28,09:10:00,gate 11,15364,{0000011C-0000-0000-0000000000000000},B,85,1,FALSE
11,1999-01-28,09:10:00,gate 11,15364,{0000011C-0000-0000-0000000000000000},B,85,1,FALSE
11,1999-01-29,09:13:00,gate 11,15505,{0000004B-0000-0000-0000000000000000},B,64,1,FALSE
11,1999-01-29,09:13:00,gate 11,15505,{0000004B-0000-0000-0000000000000000},B,64,1,FALSE
12,1999-02-02,07:43:00,gate 11,9980,{0000004B-0000-0000-0000000000000000},B,73,1,FALSE
12,1999-02-02,07:43:00,gate 11,9980,{0000004B-0000-0000-0000000000000000},B,73,1,FALSE
12,1999-02-03,07:45:00,gate 11,10035,{0000004B-0000-0000-0000000000000000},B,82,1,FALSE
12,1999-02-03,07:45:00,gate 11,10035,{0000004B-0000-0000-0000000000000000},B,82,1,FALSE
208,1999-04-06,09:13:00,gate 11,10540,{00000063-0000-0000-0000000000000000},BSDG,54,2,FALSE
208,1999-04-06,09:13:00,gate 11,10540,{00000063-0000-0000-0000000000000000},BSDG,54,2,FALSE
14,1999-04-11,09:14:00,gate 11,14215,{00000063-0000-0000-0000000000000000},BSDG,55,1,FALSE
14,1999-04-11,09:14:00,gate 11,14215,{00000063-0000-0000-0000000000000000},BSDG,55,1,FALSE
302,1999-04-26,09:38:00,gate 11,11593,{00000063-0000-0000-0000000000000000},BSDG,56,1,FALSE
302,1999-04-26,09:38:00,gate 11,11593,{00000063-0000-0000-0000000000000000},BSDG,56,1,FALSE
16,1999-05-12,09:18:00,gate 11,12981,{00000064-0000-0000-0000000000000000},BSDO,53,1,FALSE
16,1999-05-12,09:18:00,gate 11,12981,{00000064-0000-0000-0000000000000000},BSDO,53,1,FALSE
17,1999-05-12,09:18:00,gate 11,12981,{00000064-0000-0000-0000000000000000},BSDO,54,1,FALSE
17,1999-05-12,09:18:00,gate 11,12981,{00000064-0000-0000-0000000000000000},BSDO,54,1,FALSE
18,1999-06-09,06:30:00,gate 11,10683,{00000064-0000-0000-0000000000000000},BSDO,57,1,FALSE
18,1999-06-09,06:30:00,gate 11,10683,{00000064-0000-0000-0000000000000000},BSDO,57,1,FALSE
19,1999-06-12,09:18:00,gate 11,10223,{00000064-0000-0000-0000000000000000},BSDO,60,1,FALSE
19,1999-06-12,09:18:00,gate 11,10223,{00000064-0000-0000-0000000000000000},BSDO,60,1,FALSE
20,1999-06-17,08:38:00,gate 11,10744,{0000003A-0000-0000-0000000000000000},B,52,1,FALSE
20,1999-06-17,08:38:00,gate 11,10744,{0000003A-0000-0000-0000000000000000},B,52,1,FALSE
20,1999-06-18,08:37:00,gate 11,10805,{0000003A-0000-0000-0000000000000000},B,56,1,FALSE
20,1999-06-18,08:37:00,gate 11,10805,{0000003A-0000-0000-0000000000000000},B,56,1,FALSE
21,1999-06-19,08:40:00,gate 11,11256,{0000003A-0000-0000-0000000000000000},B,63,1,FALSE
21,1999-06-19,08:40:00,gate 11,11256,{0000003A-0000-0000-0000000000000000},B,63,1,FALSE
22,1999-06-23,05:54:00,gate 11,11676,{0000009B-0000-0000-0000000000000000},BSDG,45,1,FALSE
22,1999-06-23,05:54:00,gate 11,11676,{0000009B-0000-0000-0000000000000000},BSDG,45,1,FALSE
22,1999-06-25,08:28:00,gate 11,12324,{0000009B-0000-0000-0000000000000000},BSDG,57,1,FALSE
22,1999-06-25,08:28:00,gate 11,12324,{0000009B-0000-0000-0000000000000000},BSDG,57,1,FALSE
23,1999-06-26,08:15:00,gate 11,12301,{0000009B-0000-0000-0000000000000000},BSDG,60,1,FALSE
23,1999-06-26,08:15:00,gate 11,12301,{0000009B-0000-0000-0000000000000000},BSDG,60,1,FALSE
24,1999-06-30,06:01:00,gate 11,12922,{0000009B-0000-0000-0000000000000000},BSDG,61,1,FALSE
24,1999-06-30,06:01:00,gate 11,12922,{0000009B-0000-0000-0000000000000000},BSDG,61,1,FALSE
25,1999-07-05,08:53:00,gate 11,11994,{0000009C-0000-0000-0000000000000000},BSDO,50,1,FALSE
25,1999-07-05,08:53:00,gate 11,11994,{0000009C-0000-0000-0000000000000000},BSDO,50,1,FALSE
26,1999-07-16,08:38:00,gate 11,12352,{0000009C-0000-0000-0000000000000000},BSDO,52,1,FALSE
26,1999-07-16,08:38:00,gate 11,12352,{0000009C-0000-0000-0000000000000000},BSDO,52,1,FALSE
27,1999-07-22,08:36:00,gate 11,12385,{0000009C-0000-0000-0000000000000000},BSDO,53,2,FALSE
27,1999-07-22,08:36:00,gate 11,12385,{0000009C-0000-0000-0000000000000000},BSDO,53,2,FALSE
27,1999-07-23,08:27:00,gate 11,12156,{0000009C-0000-0000-0000000000000000},BSDO,54,1,FALSE
27,1999-07-23,08:27:00,gate 11,12156,{0000009C-0000-0000-0000000000000000},BSDO,54,1,FALSE
28,1999-07-26,08:28:00,gate 11,12184,{0000009C-0000-0000-0000000000000000},BSDO,56,2,FALSE
28,1999-07-26,08:28:00,gate 11,12184,{0000009C-0000-0000-0000000000000000},BSDO,56,2,FALSE
29,1999-07-31,08:50:00,gate 11,11886,{0000009C-0000-0000-0000000000000000},BSDO,57,6,FALSE
29,1999-07-31,08:50:00,gate 11,11886,{0000009C-0000-0000-0000000000000000},BSDO,57,6,FALSE
30,1999-08-04,08:34:00,gate 11,11514,{0000009C-0000-0000-0000000000000000},BSDO,58,5,FALSE
30,1999-08-04,08:34:00,gate 11,11514,{0000009C-0000-0000-0000000000000000},BSDO,58,5,FALSE
30,1999-08-05,08:57:00,gate 11,10963,{0000009C-0000-0000-0000000000000000},BSDO,59,2,FALSE
30,1999-08-05,08:57:00,gate 11,10963,{0000009C-0000-0000-0000000000000000},BSDO,59,2,FALSE
31,1999-08-07,07:38:00,gate 11,9717,{0000009C-0000-0000-0000000000000000},BSDO,60,5,FALSE
31,1999-08-07,07:38:00,gate 11,9717,{0000009C-0000-0000-0000000000000000},BSDO,60,5,FALSE
31,1999-08-10,08:35:00,gate 11,9704,{0000009C-0000-0000-0000000000000000},BSDO,62,1,FALSE
31,1999-08-10,08:35:00,gate 11,9704,{0000009C-0000-0000-0000000000000000},BSDO,62,1,FALSE
